time,angle
0.0333333333333333,-0.048612865921356274
0.0666666666666666,-0.05084997990577223
0.1,-0.052607894536685906
0.1333333333333333,-0.053486638042301804
0.1666666666666666,-0.053925955764105415
0.2,-0.053486638042301804
0.2333333333333333,-0.05216846908334727
0.2666666666666666,-0.0503707138985201
0.3,-0.047733736015415085
0.3333333333333333,-0.04421587459321974
0.3666666666666666,-0.040220544660841684
0.4,-0.03581943833379931
0.4333333333333333,-0.03094366671639603
0.4666666666666667,-0.025187840213126037
0.5,-0.019458898060889407
0.5333333333333333,-0.013261544484833411
0.5666666666666667,-0.007065600306159547
0.6,-0.0008715405665722374
0.6333333333333333,0.005304985439498423
0.6666666666666666,0.011937850668810146
0.7,0.018126090125588856
0.7333333333333333,0.023862424925891194
0.7666666666666667,0.02959980198150247
0.8,0.03445735211014899
0.8333333333333334,0.03931069490860928
0.8666666666666667,0.0432816355336183
0.9,0.04681126948521363
0.9333333333333332,0.04989955676076652
0.9666666666666668,0.05210536051109571
1.0,0.05342878616862912
1.0333333333333334,0.05431104349973914
1.0666666666666669,0.05431104349973914
1.1,0.05342878616862912
1.1333333333333333,0.051664208735446415
1.1666666666666667,0.049458383407370965
1.2,0.04681126948521363
1.2333333333333334,0.0432816355336183
1.2666666666666666,0.03931069490860928
1.3,0.03445503997968724
1.3333333333333333,0.029158436871365098
1.3666666666666667,0.023862424925891194
1.4,0.017684887589751064
1.4333333333333331,0.011496589243662703
1.4666666666666666,0.0053201605594423995
1.5,-0.0008715405665722374
1.5333333333333334,-0.007506622811925601
1.5666666666666669,-0.013678931099849969
1.6,-0.019432801356255913
1.6333333333333333,-0.02559955258937574
1.6666666666666667,-0.03091252055593885
1.7,-0.03578614344888753
1.7333333333333334,-0.04018532538789499
1.7666666666666666,-0.044178894348881455
1.8,-0.04769522092812828
1.8333333333333333,-0.0503707138985201
1.8666666666666667,-0.052128003929047706
1.9,-0.053047284244763356
1.9333333333333331,-0.053486638042301804
1.9666666666666663,-0.053486638042301804
2.0,-0.052128003929047706
2.033333333333333,-0.05081008912737883
2.066666666666667,-0.04817331798999058
2.1,-0.04505817434281756
2.1333333333333333,-0.04154027959702433
2.1666666666666665,-0.037140085817814805
2.2,-0.03226468093213985
2.2333333333333334,-0.026979160262894375
2.2666666666666666,-0.02122208111224655
2.3,-0.015025193380605373
2.333333333333333,-0.008851003144371594
2.3666666666666667,-0.0026544021598233765
2.4,0.003524008504336207
2.433333333333333,0.010159835988978072
2.466666666666667,0.016351031309508768
2.5,0.022089500419589347
2.533333333333333,0.02782912940190796
2.566666666666667,0.033130850027157654
2.6,0.03798629042361612
2.6333333333333333,0.04195899373889689
2.6666666666666665,0.04592887418399539
2.7,0.04901720625343753
2.7333333333333334,0.051223052300940035
2.7666666666666666,0.052987649399302894
2.8,0.05386991759263649
2.833333333333333,0.05431104349973914
2.8666666666666667,0.05342878616862912
2.9,0.05210536051109571
2.933333333333333,0.05034072614194085
2.966666666666667,0.04769365370537293
3.0,0.044164055834149174
3.033333333333333,0.04019312951905918
3.066666666666667,0.03578097620206955
3.1,0.030923920225303325
3.1333333333333333,0.025186356248755093
3.1666666666666665,0.01944974743996486
3.2,0.01326169913344244
3.2333333333333334,0.007084607382555896
3.2666666666666666,0.0008928857961556513
3.3,-0.005722377284240299
3.333333333333333,-0.01191580916973134
3.3666666666666667,-0.01811075263557438
3.4,-0.023838110494154522
3.433333333333333,-0.029151556636882958
3.466666666666667,-0.03446581007739202
3.5,-0.039305731358738605
3.533333333333333,-0.043299484338629846
3.566666666666667,-0.04681633896108717
3.6,-0.04949185899106001
3.633333333333333,-0.05124942931900045
3.6666666666666665,-0.05256723801693285
3.7,-0.053486638042301804
3.733333333333333,-0.05344559893268764
3.7666666666666666,-0.05256723801693285
3.8,-0.05124942931900045
3.8333333333333335,-0.04905237964364284
3.8666666666666663,-0.045937322989971774
3.9,-0.04241994564372731
3.933333333333333,-0.03842601481339103
3.966666666666667,-0.033585443609258636
4.0,-0.028711248397667477
4.033333333333333,-0.022957240695852702
4.066666666666666,-0.016788501589728
4.1,-0.010593256325916347
4.133333333333334,-0.0044190889518842535
4.166666666666667,0.0017751903192642082
4.2,0.008394262598771851
4.233333333333333,0.014574551365586386
4.266666666666667,0.020323676545833225
4.3,0.026062988876079714
4.333333333333333,0.031365300037961674
4.366666666666666,0.03666206178161713
4.4,0.04107617253940443
4.433333333333334,0.04460743066381845
4.466666666666667,0.04813484123073408
4.5,0.05078189137921996
4.533333333333333,0.052546507456255005
4.566666666666666,0.05386991759263649
4.6,0.05431104349973914
4.633333333333334,0.05386991759263649
4.666666666666667,0.052546507456255005
4.7,0.05078189137921996
4.733333333333333,0.0485799452448159
4.766666666666667,0.045490229494284724
4.8,0.04151758349417589
4.833333333333333,0.037103470376219416
4.866666666666666,0.03224478052174029
4.9,0.026946049196284957
4.933333333333334,0.02120657406835158
4.966666666666667,0.015457617493328303
5.0,0.009277025581090337
5.033333333333333,0.0026411982240706067
5.066666666666666,-0.0035367792344345172
5.1,-0.009733268149126895
5.133333333333334,-0.015906890750249758
5.166666666666667,-0.02210353113385155
5.2,-0.02786034751923272
5.233333333333333,-0.03270496333062889
5.266666666666667,-0.03758024220400835
5.3,-0.04198012845600174
5.333333333333333,-0.04553532130526783
5.366666666666666,-0.048612865921356274
5.4,-0.05084997990577223
5.433333333333334,-0.052607894536685906
5.466666666666667,-0.053486638042301804
5.5,-0.053486638042301804
5.533333333333333,-0.053047284244763356
5.566666666666666,-0.051729008050107377
5.6,-0.04949185899106001
