Time,x,y
0.03333333333333333,460,463
0.06666666666666667,465,462
0.1,469,462
0.13333333333333333,471,462
0.16666666666666666,472,462
0.2,471,462
0.23333333333333334,468,462
0.26666666666666666,464,463
0.3,458,463
0.3333333333333333,450,463
0.36666666666666664,441,464
0.4,431,464
0.43333333333333335,420,465
0.4666666666666667,407,466
0.5,394,466
0.5333333333333333,380,467
0.5666666666666667,366,468
0.6,352,469
0.6333333333333333,338,469
0.6666666666666666,323,470
0.7,309,471
0.7333333333333333,296,471
0.7666666666666667,283,471
0.8,272,472
0.8333333333333334,261,472
0.8666666666666667,252,472
0.9,244,472
0.9333333333333333,237,472
0.9666666666666667,232,472
1.0,229,472
1.0333333333333334,227,472
1.0666666666666667,227,472
1.1,229,472
1.1333333333333333,233,472
1.1666666666666667,238,472
1.2,244,472
1.2333333333333334,252,472
1.2666666666666666,261,472
1.3,272,471
1.3333333333333333,284,471
1.3666666666666667,296,471
1.4,310,471
1.4333333333333333,324,470
1.4666666666666666,338,470
1.5,352,469
1.5333333333333334,367,468
1.5666666666666667,381,468
1.6,394,467
1.6333333333333333,408,467
1.6666666666666667,420,466
1.7,431,465
1.7333333333333334,441,465
1.7666666666666666,450,464
1.8,458,464
1.8333333333333333,464,463
1.8666666666666667,468,463
1.9,470,462
1.9333333333333333,471,462
1.9666666666666666,471,462
2.0,468,463
2.033333333333333,465,463
2.066666666666667,459,463
2.1,452,464
2.1333333333333333,444,464
2.1666666666666665,434,464
2.2,423,465
2.2333333333333334,411,465
2.2666666666666666,398,466
2.3,384,467
2.3333333333333335,370,467
2.3666666666666667,356,468
2.4,342,468
2.433333333333333,327,469
2.466666666666667,313,470
2.5,300,470
2.533333333333333,287,470
2.566666666666667,275,471
2.6,264,471
2.6333333333333333,255,471
2.6666666666666665,246,472
2.7,239,472
2.7333333333333334,234,472
2.7666666666666666,230,472
2.8,228,472
2.8333333333333335,227,472
2.8666666666666667,229,472
2.9,232,472
2.933333333333333,236,472
2.966666666666667,242,472
3.0,250,472
3.033333333333333,259,472
3.066666666666667,269,472
3.1,280,471
3.1333333333333333,293,471
3.1666666666666665,306,471
3.2,320,470
3.2333333333333334,334,470
3.2666666666666666,348,469
3.3,363,469
3.3333333333333335,377,468
3.3666666666666667,391,467
3.4,404,467
3.433333333333333,416,466
3.466666666666667,428,465
3.5,439,465
3.533333333333333,448,464
3.566666666666667,456,464
3.6,462,463
3.6333333333333333,466,463
3.6666666666666665,469,463
3.7,471,462
3.7333333333333334,471,463
3.7666666666666666,469,463
3.8,466,463
3.8333333333333335,461,463
3.8666666666666667,454,464
3.9,446,464
3.933333333333333,437,465
3.966666666666667,426,465
4.0,415,466
4.033333333333333,402,467
4.066666666666666,388,467
4.1,374,468
4.133333333333334,360,468
4.166666666666667,346,469
4.2,331,469
4.233333333333333,317,469
4.266666666666667,304,470
4.3,291,470
4.333333333333333,279,471
4.366666666666666,267,471
4.4,257,471
4.433333333333334,249,471
4.466666666666667,241,472
4.5,235,472
4.533333333333333,231,472
4.566666666666666,228,472
4.6,227,472
4.633333333333334,228,472
4.666666666666667,231,472
4.7,235,472
4.733333333333333,240,471
4.766666666666667,247,471
4.8,256,471
4.833333333333333,266,471
4.866666666666666,277,470
4.9,289,470
4.933333333333334,302,470
4.966666666666667,315,469
5.0,329,469
5.033333333333333,344,468
5.066666666666666,358,468
5.1,372,467
5.133333333333334,386,467
5.166666666666667,400,466
5.2,413,465
5.233333333333333,424,465
5.266666666666667,435,464
5.3,445,464
5.333333333333333,453,463
5.366666666666666,460,463
5.4,465,462
5.433333333333334,469,462
5.466666666666667,471,462
5.5,471,462
5.533333333333333,470,462
5.566666666666666,467,462
5.6,462,463
5.633333333333334,456,463
5.666666666666667,449,463
5.7,439,464
5.733333333333333,429,464
5.766666666666667,418,465
5.8,405,466
5.833333333333333,392,466
5.866666666666666,379,467
5.9,364,468
5.933333333333334,350,468
5.966666666666667,335,469
6.0,321,469
6.033333333333333,308,470
6.066666666666666,295,470
6.1,282,470
6.133333333333334,271,471
6.166666666666667,260,471
6.2,251,471
6.233333333333333,243,471
6.266666666666667,237,472
6.3,232,472
6.333333333333333,229,472
6.366666666666666,227,472
6.4,227,472
6.433333333333334,230,472
6.466666666666667,233,472
6.5,239,472
6.533333333333333,245,471
6.566666666666666,253,471
6.6,263,471
6.633333333333334,274,471
6.666666666666667,285,470
6.7,298,470
